928 97396 
877014 
330081 
225807 
426856 
675227 
531687 
429465 
688745 
528088 
571422 
63424 
594925 
424681 
651974 
594719 
366214 
638735 
938479 
859825 
93868 
588303 
592173 
328633 
231312 
14850 
51890 
87428 
179768 
32057 
777189 
920255 
612577 
522393 
358438 
977204 
634322 
124961 
669197 
253483 
550922 
258504 
390119 
937606 
115610 
368921 
449946 
96031 
363018 
784650 
410517 
71940 
853692 
564106 
514478 
141624 
682389 
436133 
633244 
174577 
945068 
353438 
308146 
400007 
718465 
870566 
673394 
811922 
724884 
329846 
848665 
509931 
665178 
611955 
455119 
521674 
807459 
989021 
196983 
306869 
851295 
718102 
37519 
64654 
748555 
481243 
453789 
859488 
811882 
771346 
262334 
137324 
323860 
654710 
477837 
111266 
689918 
605590 
192199 
858534 
271911 
996266 
453676 
891117 
240837 
537452 
611715 
575008 
303884 
589225 
374125 
725647 
443865 
869013 
355092 
668734 
790777 
71653 
858415 
915078 
21177 
42873 
502622 
61166 
967734 
88487 
246480 
893484 
621842 
355163 
89351 
547470 
135423 
206780 
537003 
651344 
36702 
591668 
502694 
706925 
41757 
154112 
448018 
447363 
622903 
559476 
76694 
149091 
593586 
971761 
759597 
113820 
237700 
791399 
276894 
183847 
611325 
849093 
92477 
469765 
11173 
409506 
930896 
812561 
95515 
515518 
32274 
681518 
555696 
467364 
570989 
304943 
885343 
5028 
58881 
576058 
248852 
294465 
423355 
211864 
655543 
777308 
864111 
119050 
538231 
160832 
638640 
212552 
422633 
214833 
607266 
519420 
642383 
373041 
805924 
297547 
247313 
332141 
809819 
171862 
255479 
562047 
781354 
68143 
245845 
186526 
50176 
260266 
114602 
745893 
925137 
583201 
133865 
917516 
950129 
141154 
698119 
127066 
342270 
506329 
792482 
984610 
800509 
116197 
324344 
815166 
86581 
652777 
68690 
26957 
855445 
249635 
318030 
674794 
471158 
690503 
28250 
331218 
961160 
702675 
516777 
971267 
842041 
995249 
18734 
584208 
63251 
166879 
166585 
697532 
752103 
162935 
520312 
888495 
804870 
534318 
968229 
655629 
171255 
86805 
910125 
985438 
731860 
850074 
313538 
174696 
200931 
461099 
985699 
6675 
235504 
524668 
883652 
565483 
96722 
724987 
161255 
697709 
974739 
277592 
497748 
119538 
310084 
987135 
33766 
657386 
580061 
175956 
867440 
412515 
437974 
273715 
712367 
436003 
887913 
87051 
714758 
862205 
990957 
175037 
896888 
573945 
279807 
478936 
59374 
13634 
319304 
465263 
35660 
302223 
599226 
950199 
294264 
389362 
294741 
822548 
941066 
165795 
491919 
345518 
268853 
55816 
748678 
99485 
996722 
884740 
900958 
557788 
280891 
259076 
186954 
882220 
144494 
269880 
893982 
634900 
995890 
653766 
262350 
909843 
275653 
611829 
97450 
412041 
317245 
583141 
421897 
880324 
936748 
120990 
642545 
283467 
787671 
696617 
905831 
817465 
527344 
872163 
124416 
880080 
543674 
472191 
175591 
55740 
989022 
653379 
770081 
317369 
850329 
635901 
854507 
435568 
876818 
369627 
25440 
687808 
506355 
153904 
223192 
797025 
721573 
849210 
46621 
258586 
640174 
571114 
979686 
405454 
513666 
764386 
450171 
179732 
803307 
951195 
483759 
129944 
724476 
310599 
568056 
654759 
694108 
300283 
2520 
970758 
575216 
21447 
30675 
919389 
942518 
411099 
9340 
540521 
437391 
499755 
368684 
119309 
193208 
513270 
474715 
435617 
466870 
851355 
101378 
40291 
337286 
86564 
223184 
226775 
990073 
814835 
784723 
911794 
141581 
579600 
50878 
76531 
386445 
355422 
454450 
240644 
591443 
914642 
254914 
465961 
213703 
758348 
421711 
17264 
474919 
891053 
842036 
912049 
425290 
924399 
902612 
512718 
172841 
116455 
768067 
579400 
48522 
920766 
485985 
130295 
385709 
34186 
859684 
539794 
814700 
723686 
736149 
920082 
217304 
602004 
412041 
327486 
866184 
486962 
118769 
615073 
707809 
955732 
878272 
218570 
845384 
880106 
309837 
627979 
527039 
817608 
407291 
644621 
302175 
263966 
126201 
677967 
810964 
33719 
318605 
467788 
279370 
866341 
419814 
986136 
525692 
932397 
141411 
406605 
572570 
443201 
201535 
834966 
298784 
725571 
970206 
301967 
195493 
795650 
234358 
944855 
911793 
987827 
801805 
746576 
527894 
326250 
413967 
714191 
193892 
556326 
358488 
953778 
462572 
641188 
77887 
899676 
77979 
977129 
392421 
844110 
874304 
406677 
242394 
975272 
706084 
534756 
47480 
97131 
416985 
929129 
703232 
434501 
157038 
376987 
442176 
932568 
150654 
302241 
990274 
89417 
263226 
211633 
905893 
783909 
670755 
659780 
381747 
588464 
766513 
527889 
599502 
509940 
146979 
47346 
304431 
320033 
281147 
888206 
418592 
23331 
206052 
35186 
894816 
237583 
537888 
125775 
256131 
222427 
982354 
492836 
209706 
876582 
908641 
229806 
692583 
130349 
671783 
105618 
624619 
834079 
226512 
630622 
799266 
286088 
912561 
796931 
194624 
375442 
507895 
400640 
279995 
309742 
531077 
215586 
686245 
947349 
761452 
996067 
531805 
469088 
734743 
361064 
909935 
838153 
582642 
441105 
166079 
882934 
921214 
480341 
701801 
778766 
334369 
439250 
532193 
599432 
921197 
617781 
191379 
297414 
393753 
993527 
597525 
6588 
747528 
469178 
583084 
684807 
104183 
875059 
454166 
882050 
725630 
316863 
219304 
38531 
526130 
706024 
273956 
369405 
418466 
785623 
564502 
277811 
39922 
574102 
404561 
276814 
712148 
745902 
994670 
884671 
386479 
232837 
876985 
324704 
882166 
901774 
460975 
669636 
479540 
543412 
609606 
723452 
162780 
839032 
462255 
692844 
540081 
550906 
564271 
492233 
196771 
568217 
539392 
233912 
556951 
358710 
250503 
829831 
919211 
940183 
174256 
185901 
775204 
34689 
852402 
892236 
489421 
180279 
130007 
346040 
654949 
84495 
611610 
876812 
643252 
421458 
554867 
919859 
363279 
182110 
300238 
477804 
884337 
93361 
193390 
437330 
373220 
570909 
561511 
621535 
405562 
681177 
157012 
37308 
617600 
955595 
541316 
442193 
696011 
399238 
326860 
622407 
294111 
8845 
909215 
135210 
908531 
566321 
111874 
185382 
666736 
145307 
360034 
727036 
828831 
940952 
153802 
880876 
111587 
15459 
240014 
605919 
750317 
364087 
518218 
900277 
464720 
88457 
878390 
460337 
351017 
970964 
816941 
973866 
387430 
842155 
551423 
384885 
682542 
406853 
367642 
709495 
315671 
529550 
144103 
586943 
523091 
383306 
43053 
452638 
259701 
484385 
882485 
437931 
67669 
985011 
366507 
33308 
816277 
688689 
266614 
640025 
798370 
743815 
485615 
969687 
630720 
878750 
195052 
849134 
313913 
152904 
61634 
895628 
623764 
855944 
503816 
771503 
530697 
970238 
493992 
415050 
10091 
504837 
186894 
962826 
21201 
252684 
50257 
243999 
798500 
573629 
158554 
589262 
999177 
57838 
933295 
255791 
297029 
606489 
102038 
591596 
875250 
692338 
701812 
337726 
6875 
683453 
852606 
215314 
82814 
969760 
648288 
55065 
73662 
66797 
502365 
522536 
142659 
226144 
722973 
887305 
742980 
323013 
973915 
744246 
175103 
407950 
41804 
787603 
916996 
296533 
636990 
816673 
755510 
9561 
823045 
747708 
709972 
809128 
448791 
270386 
84417 
179879 
972793 
565377 
764580 
219266 
309162 
486286 
986065 
561631 
312348 
674226 
775748 
193799 
790546 
12248 
235543 
496427 
563741 
160564 
136845 
191955 
641482 
829331 
628714 
455494 
650603 
953969 
181618 
900398 
721409 
414023 
44592 
547339 
717621 
824424 
682930 
687739 
406561 
968341 
748181 
691411 
16447 
561205 
874436 
941524 
100407 
17182 
981310 
113691 
183465 
71468 
437937 
639301 
395753 
916202 
495950 
146562 
347041 
30749 
924826 
41191 
602202 
422294 
742473 
915961 
739151 
114373 
247926 
482970 
237250 
760558 
791360 
106268 
379855 
722078 
980694 
651150 
986365 
939125 
806625 
929489 
331952 
321335 
485787 
879525 
581039 
494599 
206345 
901040 
84381 
976583 
375964 
218887 
707471 
76456 
99772 
469958 
967125 
487268 
512565 
224873 
155686 
34743 
266520 
377554 
436483 
955404 
758301 
672827 
710481 
825824 
946303 
687513 
392873 
438197 
949552 
674045 
681531 
103560 
73490 
193465 
844686 
845106 
143465 
622607 
561274 
643305 
387871 
364756 
723996 
997743 
107674 
492203 
623674 
807178 
509510 
711000 
485706 
724988 
329983 
91429 
994714 
440881 
177087 
745878 
815738 
569168 
249600 
291529 
170445 
472866 
187441 
298093 
288334 
511100 
873550 
392729 
785165 
557846 
420597 
299209 
180967 
273754 
666261 
73775 
210502 
565933 
393016 
830855 
376449 
90667 
751997 
471514 
417950 
530179 
715514 
898877 
63872 
5656 
217579 
823327 
191323 
433790 
441221 
865354 
223479 
647326 
132974 
412001 
530128 
674691 
794081 
829679 
327940 
993825 
684861 
214517 
812002 
724466 
216486 
464697 
147597 
664759 
717465 
390107 
773304 
646051 
832590 
997445 
518791 
820546 
182731 
359227 
921710 
537633 
431685 
306548 
669332 
737098 
212465 
671212 
901988 
258186 
982404 
444457 
184213 
785970 
264563 
691770 
368509 
382912 
8263 
817663 
620118 
274866 
463795 
421687 
801717 
348540 
648643 
407614 
383456 
119779 
649029 
91617 
115034 
402312 
799299 
251061 
435557 
760130 
446842 
150051 
910634 
647751 
76242 
967369 
321568 
852451 
406205 
144890 
747090 
313791 
863285 
745837 
578639 
594028 
493672 
561835 
134072 
301312 
594295 
159293 
667858 
626929 
559469 
206035 
748509 
804883 
750392 
214756 
244842 
601216 
917107 
986991 
664671 
186151 
160480 
198392 
475733 
750185 
191990 
817890 
240694 
752393 
390459 
102277 
217083 
787144 
898146 
291412 
102114 
237516 
938951 
995698 
766196 
714863 
2510 
966564 
717744 
159950 
682088 
164028 
402774 
663515 
732614 
31636 
647117 
421118 
390170 
928825 
503845 
887017 
899766 
568517 
836022 
458185 
26967 
310809 
661105 
330259 
205598 
398232 
460221 
69009 
870640 
109023 
618468 
228386 
38970 
672027 
896067 
622300 
731282 
548017 
463083 
524237 
595753 
465983 
220075 
313799 
938735 
830724 
3975 
253311 
776194 
144295 
152472 
840769 
847845 
6432 
959277 
314646 
891686 
47393 
357248 
112672 
743430 
241359 
553256 
793289 
648026 
455459 
897952 
122412 
176082 
391986 
945640 
938955 
294457 
173104 
38223 
660868 
799377 
43009 
715720 
92381 
902577 
457743 
694637 
886752 
796299 
153272 
117815 
412967 
797877 
706893 
547268 
96606 
990193 
49212 
135229 
531378 
535348 
613139 
186842 
336549 
147569 
162896 
602073 
611366 
110630 
32349 
658103 
433490 
248161 
953579 
264138 
684134 
95658 
712813 
973831 
707888 
238544 
562189 
588340 
832842 
243689 
105090 
967631 
739120 
59690 
457270 
239410 
755473 
132896 
3245 
998110 
102972 
73449 
529272 
460343 
777987 
608718 
958905 
102928 
951470 
945774 
837846 
509412 
866049 
220104 
242099 
330197 
610932 
79996 
822713 
998348 
866592 
637443 
700187 
494214 
815362 
766097 
41441 
357701 
30999 
933498 
49281 
788583 
692945 
944597 
632991 
201786 
2178 
403660 
586611 
715533 
304596 
717304 
569244 
909165 
250318 
889518 
433157 
922590 
890597 
438201 
748015 
690002 
379496 
434026 
787286 
471553 
872109 
288908 
196728 
256197 
646867 
755662 
56579 
612148 
210561 
208879 
965629 
110351 
870737 
239243 
228578 
445172 
877667 
357396 
456455 
140952 
248377 
496533 
576388 
29088 
699850 
85454 
956097 
643188 
821736 
763886 
810679 
515362 
339046 
764954 
899892 
486603 
705976 
148500 
773994 
627430 
181277 
298298 
709787 
422901 
899183 
731070 
132168 
116098 
241815 
84364 
722600 
814910 
570049 
795820 
339123 
484707 
368602 
281140 
562070 
398758 
377784 
83560 
870633 
788097 
803209 
617371 
59826 
434878 
53269 
101502 
164985 
887196 
745446 
175362 
144522 
674032 
317386 
84950 
906505 
572780 
700662 
934061 
756455 
672954 
640035 
57362 
728854 
386940 
765280 
405034 
222646 
597971 
802228 
945397 
972823 
921137 
601520 
363767 
77945 
912629 
723173 
819193 
688827 
372222 
422071 
570983 
696485 
526076 
622152 
957402 
620110 
843828 
716456 
978287 
447789 
79419 
517100 
424512 
59786 
92142 
10716 
513366 
57036 
494512 
418893 
25675 
512428 
102402 
840646 
736593 
153711 
155447 
13465 
962649 
724663 
189396 
15181 
361336 
545165 
507580 
23471 
452257 
477671 
640667 
667158 
686427 
790552 
154565 
717954 
129790 
332255 
141802 
380405 
839975 
643246 
487213 
157044 
944215 
613977 
406182 
929439 
263940 
71168 
390371 
769511 
231486 
170463 
463144 
90667 
262074 
253456 
368365 
173759 
965495 
225565 
698068 
797014 
606001 
133300 
360330 
629433 
119725 
333022 
983194 
776472 
139920 
367563 
865788 
490262 
624149 
468360 
997967 
746069 
67775 
745567 
122640 
363101 
925487 
818134 
239774 
504417 
62252 
368509 
628920 
47866 
965702 
641971 
86644 
622855 
180862 
560386 
518500 
806104 
577850 
222628 
714225 
996243 
633688 
444880 
773167 
428904 
943167 
346813 
901214 
106796 
233368 
516089 
643704 
603251 
996578 
585017 
482448 
805289 
991014 
486056 
293411 
903546 
467556 
933538 
504770 
830383 
942448 
822041 
563790 
664116 
696689 
991190 
288081 
475463 
859003 
763857 
275278 
45573 
288294 
660929 
144856 
251797 
671059 
45571 
893090 
315217 
460391 
732516 
556442 
332203 
551059 
889786 
451272 
506954 
346641 
684005 
828275 
928878 
950013 
230058 
225990 
140526 
419585 
999687 
580709 
582840 
807147 
723394 
74778 
378220 
250622 
156336 
902510 
272104 
817726 
559196 
816662 
830905 
305850 
803197 
2898 
902586 
334282 
620548 
37429 
433719 
193335 
567624 
885994 
683421 
923957 
197769 
71027 
295463 
4874 
738060 
371619 
188580 
463188 
290740 
802544 
535186 
532587 
732972 
550557 
45127 
276807 
10554 
344043 
21667 
41354 
421181 
616019 
113408 
937268 
695036 
556147 
706895 
803740 
724832 
851838 
420627 
421043 
300556 
534083 
764260 
139103 
63343 
463384 
133133 
963902 
681012 
264559 
919978 
571261 
172007 
593820 
116394 
702892 
949311 
52873 
452709 
780476 
289534 
685708 
198602 
886958 
754180 
758413 
793414 
892051 
649917 
820929 
602827 
840030 
240785 
585098 
488924 
553505 
456180 
720395 
48015 
697873 
335197 
95114 
876886 
576217 
36295 
697307 
602728 
116132 
932576 
770034 
48111 
558367 
499658 
999183 
987467 
434464 
513965 
954167 
847550 
377848 
753492 
962623 
39237 
231917 
912839 
475456 
490707 
381576 
913415 
52474 
683195 
155194 
696993 
822736 
903026 
281744 
258728 
938070 
159027 
988916 
35874 
449744 
700086 
266750 
461534 
587783 
990968 
562957 
653298 
6091 
496540 
501543 
120270 
684496 
836779 
274359 
649394 
846075 
429213 
410785 
884942 
499266 
210567 
956684 
828499 
734935 
308147 
828132 
389338 
97676 
56332 
355846 
328945 
245385 
531840 
718949 
199750 
327640 
237230 
782992 
844573 
252781 
841349 
479097 
703777 
916758 
417890 
53343 
451236 
930479 
852649 
758995 
124681 
392806 
295373 
594171 
46505 
480097 
836250 
400639 
404914 
883982 
46574 
16664 
146633 
902675 
416063 
485851 
713889 
301868 
812848 
716632 
988244 
316614 
443171 
516692 
473209 
934350 
820608 
341075 
588465 
789551 
810849 
711219 
567807 
817397 
704372 
595594 
524597 
289636 
224009 
373670 
910138 
305212 
823475 
479205 
546494 
642810 
279260 
221780 
933302 
32238 
631883 
683932 
507325 
361706 
739148 
912293 
857690 
199364 
589304 
315397 
22737 
23651 
58459 
31192 
507638 
289443 
157730 
347125 
737546 
69853 
825238 
710009 
525251 
497498 
224018 
10836 
164497 
805243 
69252 
14097 
109508 
253383 
679242 
903348 
952020 
817944 
873216 
933457 
948717 
824485 
250517 
462828 
148679 
434227 
581756 
371281 
530675 
513255 
108201 
354009 
112360 
927984 
941597 
979781 
49048 
300091 
804811 
307666 
6721 
470081 
147836 
83263 
947460 
279841 
692192 
580172 
261183 
297495 
273557 
427756 
474237 
338522 
399313 
310641 
479403 
395122 
725192 
496933 
274550 
278241 
101641 
258633 
838646 
272602 
837524 
354676 
757622 
932252 
913884 
110053 
353063 
814632 
795160 
137824 
738594 
931564 
690611 
139463 
74576 
208423 
995285 
411882 
774210 
288793 
474501 
979113 
331451 
117908 
127782 
469543 
151378 
664486 
341343 
190917 
177213 
743901 
795283 
285643 
5154 
574020 
508542 
623150 
52369 
140463 
374894 
884530 
716634 
171367 
648776 
746962 
147279 
124728 
937718 
764654 
605576 
706779 
636660 
397456 
691325 
250069 
16939 
333154 
602816 
531151 
434014 
455814 
232089 
531710 
45657 
942442 
652445 
802874 
778453 
364125 
684285 
157307 
172797 
497482 
232354 
38777 
79492 
629537 
221709 
572488 
337270 
665278 
920228 
498743 
324979 
604244 
960967 
526901 
301081 
204259 
70732 
34257 
671965 
785224 
582115 
569225 
38647 
816097 
329201 
453954 
570903 
457184 
110785 
757835 
380621 
597014 
289467 
934601 
730402 
372114 
281645 
988275 
773140 
526550 
455658 
245174 
696481 
428135 
979102 
477748 
361407 
882655 
960597 
631335 
830599 
485297 
836437 
399736 
666492 
148138 
525484 
165173 
255218 
722122 
510998 
420798 
890566 
434313 
231202 
140851 
639412 
164792 
491111 
853624 
295119 
305564 
405303 
403721 
121766 
279484 
364324 
889963 
7183 
441312 
934598 
772750 
413791 
57058 
352681 
194000 
607929 
159161 
178064 
824970 
114961 
434609 
665236 
188342 
665835 
427374 
995451 
386934 
37272 
265526 
347511 
856278 
320455 
19075 
108807 
136562 
488723 
896206 
408115 
446111 
822736 
600185 
391879 
318938 
591324 
882978 
733124 
978264 
878039 
471758 
642098 
476188 
853835 
706856 
798809 
651940 
28433 
26290 
55360 
66796 
274790 
494869 
718140 
53163 
376052 
303166 
450345 
632804 
763654 
764831 
171758 
542047 
787769 
648451 
83712 
260610 
227203 
842326 
415406 
780745 
839596 
237028 
679924 
105754 
535473 
876101 
746915 
481144 
195618 
840237 
787037 
432018 
510824 
836640 
269368 
124828 
752928 
692911 
102972 
774928 
424942 
228620 
302027 
15741 
970294 
334591 
683048 
779925 
385303 
517031 
291139 
169711 
494068 
446637 
35610 
236600 
550736 
823128 
781509 
944962 
214533 
8017 
8542 
